,x_tbl,x_dfy,x_tms,x_svar,x_ill,x_infl,x_dy,x_lev,x_ep,x_ni,x_rf
1972/1/31,0.475,0.904166667,0.966666667,0.616666667,0.233333333,0.591666667,0.816666667,0.966666667,0.591666667,0.641666667,0.29
1972/2/29,0.433333333,0.908333333,0.966666667,0.633333333,0.308333333,0.558333333,0.45,0.875,0.216666667,0.7,0.25
1972/3/31,0.175,0.858333333,1,0.625,0.233333333,0.55,0.341666667,0.858333333,0.15,0.691666667,0.27
1972/4/30,0.15,0.845833333,1,0.616666667,0.25,0.625,0.216666667,0.841666667,0.058333333,0.683333333,0.29
1972/5/31,0.325,0.85,0.966666667,0.616666667,0.225,0.575,0.15,0.825,0.041666667,0.675,0.3
1972/6/30,0.316666667,0.816666667,0.966666667,0.616666667,0.233333333,0.566666667,0.241666667,0.891666667,0.433333333,0.708333333,0.29
1972/7/31,0.3,0.804166667,0.941666667,0.658333333,0.216666667,0.516666667,0.166666667,0.866666667,0.4,0.716666667,0.31
1972/8/31,0.391666667,0.841666667,0.933333333,0.591666667,0.266666667,0.491666667,0.283333333,0.9,0.508333333,0.7,0.29
1972/9/30,0.425,0.85,0.908333333,0.608333333,0.275,0.483333333,0.316666667,0.883333333,0.533333333,0.666666667,0.34
1972/10/31,0.433333333,0.8375,0.9,0.45,0.341666667,0.475,0.141666667,0.841666667,0.4,0.658333333,0.4
1972/11/30,0.591666667,0.725,0.841666667,0.45,0.3,0.5,0.208333333,0.841666667,0.441666667,0.625,0.37
1972/12/31,0.616666667,0.704166667,0.816666667,0.491666667,0.333333333,0.491666667,0.158333333,0.875,0.475,0.658333333,0.37
1973/1/31,0.625,0.720833333,0.716666667,0.316666667,0.408333333,0.55,0.033333333,0.808333333,0.291666667,0.683333333,0.44
1973/2/28,0.691666667,0.691666667,0.691666667,0.275,0.308333333,0.541666667,0.016666667,0.775,0.158333333,0.716666667,0.41
1973/3/31,0.783333333,0.55,0.85,0.283333333,0.383333333,0.608333333,0.041666667,0.816666667,0.316666667,0.691666667,0.46
1973/4/30,0.8,0.545833333,0.816666667,0.4,0.358333333,0.641666667,0.158333333,0.908333333,0.55,0.633333333,0.52
1973/5/31,0.841666667,0.5125,0.666666667,0.525,0.308333333,0.808333333,0.158333333,1,0.616666667,0.475,0.51
1973/6/30,0.875,0.675,0.525,0.625,0.275,0.825,0.583333333,0.991666667,0.891666667,0.466666667,0.51
1973/7/31,0.875,0.583333333,0.558333333,0.8,0.225,0.866666667,0.691666667,0.991666667,0.916666667,0.45,0.64
1973/8/31,0.975,0.554166667,0.158333333,0.85,0.141666667,0.95,0.708333333,0.991666667,0.925,0.441666667,0.7
1973/9/30,1,0.625,0.095833333,0.9,0.116666667,0.925,0.508333333,0.975,0.866666667,0.45,0.68
1973/10/31,1,0.6875,0.008333333,0.9,0.091666667,1,0.641666667,0.983333333,0.908333333,0.45,0.65
1973/11/30,0.991666667,0.833333333,0.016666667,0.9,0.066666667,0.991666667,0.45,0.95,0.833333333,0.466666667,0.56
1973/12/31,0.95,0.633333333,0.125,0.9,0.066666667,1,0.466666667,0.966666667,0.858333333,0.416666667,0.64
1974/1/31,0.966666667,0.483333333,0.05,0.916666667,0.008333333,1,0.883333333,1,0.975,0.391666667,0.63
1974/2/28,0.95,0.620833333,0.170833333,1,0.008333333,1,0.825,0.991666667,0.958333333,0.366666667,0.58
1974/3/31,0.95,0.291666667,0.133333333,1,0.008333333,1,0.825,1,0.966666667,0.416666667,0.56
1974/4/30,0.9,0.320833333,0.4625,1,0.008333333,1,0.85,1,0.975,0.433333333,0.75
1974/5/31,0.975,0.258333333,0.216666667,1,0.016666667,1,0.891666667,1,0.975,0.408333333,0.75
1974/6/30,0.991666667,0.258333333,0.208333333,1,0.016666667,0.991666667,0.958333333,1,1,0.166666667,0.6
1974/7/31,0.975,0.316666667,0.229166667,0.966666667,0.033333333,1,0.975,1,1,0.125,0.7
1974/8/31,0.95,0.616666667,0.408333333,0.975,0.05,1,0.983333333,1,1,0.116666667,0.6
1974/9/30,0.908333333,0.5,0.666666667,1,0.033333333,1,1,1,1,0.075,0.81
1974/10/31,1,0.529166667,0.125,1,0.033333333,0.991666667,1,1,1,0.066666667,0.51
1974/11/30,0.958333333,0.779166667,0.475,1,0.058333333,1,1,1,1,0.058333333,0.54
1974/12/31,0.883333333,0.933333333,0.616666667,1,0.016666667,0.991666667,0.983333333,0.983333333,0.983333333,0.066666667,0.7
1975/1/31,0.883333333,1,0.425,0.991666667,0.1,1,0.991666667,0.991666667,0.991666667,0.108333333,0.58
1975/2/28,0.833333333,1,0.608333333,0.983333333,0.116666667,0.991666667,0.991666667,0.991666667,0.991666667,0.1,0.43
1975/3/31,0.704166667,1,0.883333333,0.983333333,0.125,0.966666667,0.958333333,0.958333333,0.958333333,0.083333333,0.41
1975/4/30,0.591666667,1,0.95,0.983333333,0.133333333,0.95,0.933333333,0.941666667,0.941666667,0.116666667,0.44
1975/5/31,0.583333333,0.983333333,0.991666667,0.991666667,0.1,0.916666667,0.916666667,0.933333333,0.925,0.125,0.44
1975/6/30,0.608333333,0.958333333,1,0.991666667,0.133333333,0.908333333,0.925,0.95,0.9,0.108333333,0.41
1975/7/31,0.483333333,0.975,1,0.983333333,0.141666667,0.866666667,0.883333333,0.916666667,0.891666667,0.175,0.48
1975/8/31,0.508333333,0.983333333,0.975,0.958333333,0.175,0.858333333,0.85,0.908333333,0.883333333,0.183333333,0.48
1975/9/30,0.683333333,0.945833333,0.8875,0.925,0.25,0.866666667,0.891666667,0.925,0.891666667,0.758333333,0.53
1975/10/31,0.729166667,0.933333333,0.866666667,0.916666667,0.25,0.833333333,0.916666667,0.925,0.9,0.8,0.56
1975/11/30,0.716666667,0.933333333,0.891666667,0.9,0.258333333,0.808333333,0.941666667,0.95,0.908333333,0.8,0.41
1975/12/31,0.604166667,0.958333333,0.891666667,0.875,0.291666667,0.8,0.9,0.916666667,0.891666667,0.775,0.48
1976/1/31,0.533333333,0.958333333,0.983333333,0.816666667,0.325,0.783333333,0.85,0.9,0.875,0.733333333,0.47
1976/2/29,0.516666667,0.95,0.941666667,0.8,0.358333333,0.766666667,0.883333333,0.9,0.883333333,0.8,0.34
1976/3/31,0.329166667,0.970833333,1,0.741666667,0.4,0.758333333,0.766666667,0.833333333,0.833333333,0.758333333,0.4
1976/4/30,0.333333333,0.9,0.991666667,0.7,0.458333333,0.741666667,0.758333333,0.825,0.825,0.7,0.42
1976/5/31,0.379166667,0.866666667,0.975,0.666666667,0.508333333,0.7125,0.741666667,0.816666667,0.8,0.583333333,0.37
1976/6/30,0.3,0.858333333,0.975,0.658333333,0.475,0.658333333,0.775,0.833333333,0.841666667,0.833333333,0.43
1976/7/31,0.416666667,0.791666667,0.966666667,0.65,0.475,0.733333333,0.8,0.841666667,0.841666667,0.8,0.47
1976/8/31,0.504166667,0.783333333,0.9,0.641666667,0.441666667,0.666666667,0.75,0.8,0.816666667,0.841666667,0.42
1976/9/30,0.4125,0.775,0.929166667,0.633333333,0.4,0.558333333,0.75,0.8,0.866666667,0.766666667,0.44
1976/10/31,0.375,0.741666667,0.908333333,0.6,0.491666667,0.625,0.75,0.816666667,0.883333333,0.766666667,0.41
1976/11/30,0.366666667,0.654166667,0.891666667,0.533333333,0.55,0.516666667,0.7,0.775,0.85,0.775,0.4
1976/12/31,0.308333333,0.6125,0.933333333,0.491666667,0.525,0.5,0.741666667,0.833333333,0.908333333,0.775,0.4
1977/1/31,0.2625,0.616666667,0.883333333,0.5,0.475,0.45,0.741666667,0.833333333,0.908333333,0.775,0.36
1977/2/28,0.175,0.716666667,0.925,0.483333333,0.466666667,0.441666667,0.666666667,0.733333333,0.833333333,0.816666667,0.35
1977/3/31,0.225,0.691666667,0.966666667,0.458333333,0.458333333,0.45,0.7,0.825,0.916666667,0.858333333,0.38
1977/4/30,0.233333333,0.65,0.966666667,0.383333333,0.483333333,0.708333333,0.758333333,0.85,0.925,0.858333333,0.38
1977/5/31,0.208333333,0.625,0.975,0.333333333,0.416666667,0.75,0.758333333,0.858333333,0.933333333,0.841666667,0.37
1977/6/30,0.191666667,0.633333333,1,0.333333333,0.441666667,0.758333333,0.908333333,0.866666667,0.933333333,0.9,0.4
1977/7/31,0.333333333,0.541666667,0.825,0.325,0.483333333,0.75,0.925,0.891666667,0.941666667,0.9,0.42
1977/8/31,0.366666667,0.5375,0.775,0.291666667,0.55,0.741666667,0.841666667,0.841666667,0.908333333,0.916666667,0.44
1977/9/30,0.4125,0.483333333,0.766666667,0.3,0.6,0.725,0.875,0.866666667,0.933333333,0.716666667,0.43
1977/10/31,0.5375,0.366666667,0.675,0.283333333,0.558333333,0.716666667,0.9,0.9,0.941666667,0.7,0.49
1977/11/30,0.583333333,0.433333333,0.633333333,0.266666667,0.55,0.691666667,0.891666667,0.883333333,0.941666667,0.658333333,0.5
1977/12/31,0.675,0.375,0.591666667,0.166666667,0.641666667,0.683333333,0.941666667,0.95,0.958333333,0.633333333,0.49
1978/1/31,0.625,0.408333333,0.6,0.2,0.766666667,0.741666667,0.908333333,0.925,0.95,0.608333333,0.49
1978/2/28,0.608333333,0.2875,0.654166667,0.2,0.825,0.716666667,0.883333333,0.916666667,0.941666667,0.625,0.46
1978/3/31,0.725,0.1875,0.608333333,0.258333333,0.833333333,0.75,0.958333333,0.958333333,0.966666667,0.566666667,0.53
1978/4/30,0.7375,0.091666667,0.616666667,0.266666667,0.833333333,0.641666667,0.958333333,0.975,0.983333333,0.583333333,0.54
1978/5/31,0.675,0.141666667,0.666666667,0.258333333,0.858333333,0.65,0.933333333,0.941666667,0.95,0.633333333,0.51
1978/6/30,0.670833333,0.1875,0.675,0.358333333,0.866666667,0.683333333,0.966666667,0.925,0.925,0.308333333,0.54
1978/7/31,0.6875,0.283333333,0.683333333,0.391666667,0.908333333,0.766666667,0.95,0.908333333,0.9,0.333333333,0.56
1978/8/31,0.766666667,0.3375,0.6,0.458333333,0.95,0.791666667,0.966666667,0.916666667,0.925,0.358333333,0.56
1978/9/30,0.8,0.079166667,0.508333333,0.483333333,0.958333333,0.8,0.925,0.883333333,0.875,0.258333333,0.62
1978/10/31,0.8,0.25,0.475,0.5,0.983333333,0.8,0.866666667,0.808333333,0.833333333,0.241666667,0.68
1978/11/30,0.916666667,0.104166667,0.383333333,0.516666667,1,0.825,0.875,0.816666667,0.841666667,0.241666667,0.7
1978/12/31,0.941666667,0.075,0.391666667,0.558333333,0.958333333,0.833333333,0.983333333,0.983333333,0.991666667,0.191666667,0.78
1979/1/31,0.983333333,0.291666667,0.225,0.583333333,0.891666667,0.825,0.958333333,0.966666667,0.975,0.233333333,0.77
1979/2/28,1,0.241666667,0.183333333,0.608333333,0.858333333,0.841666667,0.95,0.95,0.95,0.241666667,0.73
1979/3/31,1,0.429166667,0.075,0.616666667,0.891666667,0.85,0.9,0.916666667,0.941666667,0.325,0.81
1979/4/30,0.991666667,0.308333333,0.141666667,0.616666667,0.883333333,0.875,0.941666667,0.966666667,0.983333333,0.341666667,0.8
1979/5/31,1,0.441666667,0.1,0.616666667,0.841666667,0.908333333,0.866666667,0.891666667,0.9,0.283333333,0.82
1979/6/30,0.991666667,0.5125,0.154166667,0.558333333,0.866666667,0.916666667,0.966666667,0.95,0.991666667,0.408333333,0.81
1979/7/31,1,0.558333333,0.075,0.55,0.733333333,0.916666667,0.983333333,0.966666667,0.991666667,0.5,0.77
1979/8/31,0.95,0.658333333,0.158333333,0.525,0.675,0.941666667,0.933333333,0.9,0.95,0.525,0.77
1979/9/30,0.958333333,0.654166667,0.154166667,0.516666667,0.808333333,0.95,0.925,0.9,0.983333333,0.391666667,0.83
1979/10/31,0.991666667,0.6875,0.1,0.508333333,0.791666667,0.966666667,0.85,0.825,0.916666667,0.466666667,0.87
1979/11/30,1,0.658333333,0.025,0.508333333,0.658333333,0.975,0.85,0.825,0.925,0.466666667,0.99
1979/12/31,1,0.779166667,0.016666667,0.525,0.575,0.983333333,0.958333333,0.983333333,1,0.391666667,0.95
1980/1/31,1,0.75,0.008333333,0.458333333,0.658333333,1,0.858333333,0.925,0.983333333,0.4,0.8
1980/2/29,1,0.825,0.008333333,0.408333333,0.725,1,0.833333333,0.866666667,0.958333333,0.5,0.89
1980/3/31,0.991666667,0.829166667,0.058333333,0.433333333,0.616666667,1,0.716666667,0.833333333,0.9,0.666666667,1.21
1980/4/30,1,0.704166667,0.05,0.483333333,0.491666667,1,0.716666667,0.841666667,0.908333333,0.633333333,1.26
1980/5/31,1,0.85,0.008333333,0.641666667,0.408333333,1,0.958333333,0.991666667,1,0.683333333,0.81
1980/6/30,0.991666667,1,0.016666667,0.658333333,0.358333333,0.991666667,0.991666667,0.983333333,0.991666667,0.575,0.61
1980/7/31,0.833333333,1,0.583333333,0.691666667,0.458333333,0.983333333,0.958333333,0.958333333,0.966666667,0.525,0.53
1980/8/31,0.658333333,0.983333333,0.925,0.7,0.45,0.975,0.891666667,0.908333333,0.933333333,0.633333333,0.64
1980/9/30,0.795833333,0.833333333,0.804166667,0.725,0.383333333,0.941666667,0.75,0.783333333,0.766666667,0.708333333,0.75
1980/10/31,0.875,0.816666667,0.7,0.758333333,0.366666667,0.933333333,0.708333333,0.766666667,0.75,0.741666667,0.95
1980/11/30,0.941666667,0.866666667,0.475,0.8,0.433333333,0.925,0.65,0.691666667,0.733333333,0.791666667,0.96
1980/12/31,0.941666667,0.958333333,0.333333333,0.783333333,0.583333333,0.916666667,0.591666667,0.7,0.683333333,0.741666667,1.31
1981/1/31,0.991666667,0.85,0.041666667,0.8,0.633333333,0.908333333,0.483333333,0.508333333,0.566666667,0.791666667,1.04
1981/2/28,1,0.958333333,0.008333333,0.816666667,0.533333333,0.891666667,0.483333333,0.55,0.583333333,0.816666667,1.07
1981/3/31,0.983333333,1,0.016666667,0.808333333,0.608333333,0.825,0.55,0.683333333,0.641666667,0.866666667,1.21
1981/4/30,0.975,0.958333333,0.041666667,0.791666667,0.791666667,0.791666667,0.5,0.666666667,0.616666667,0.883333333,1.08
1981/5/31,0.958333333,0.95,0.116666667,0.75,0.933333333,0.733333333,0.458333333,0.55,0.558333333,0.941666667,1.15
1981/6/30,0.958333333,0.820833333,0.195833333,0.716666667,0.958333333,0.683333333,0.7,0.666666667,0.566666667,1,1.35
1981/7/31,1,0.779166667,0.008333333,0.7,0.916666667,0.65,0.683333333,0.641666667,0.558333333,1,1.24
1981/8/31,0.958333333,0.966666667,0.075,0.683333333,0.941666667,0.641666667,0.725,0.675,0.583333333,0.983333333,1.28
1981/9/30,0.966666667,0.879166667,0.116666667,0.666666667,0.958333333,0.75,0.725,0.725,0.65,0.975,1.24
1981/10/31,0.991666667,0.708333333,0.125,0.666666667,0.841666667,0.75,0.858333333,0.9,0.741666667,0.975,1.21
1981/11/30,0.933333333,0.7,0.333333333,0.675,0.716666667,0.766666667,0.975,0.975,0.866666667,0.983333333,1.07
1981/12/31,0.908333333,0.825,0.366666667,0.65,0.641666667,0.683333333,0.883333333,0.941666667,0.791666667,1,0.87
1982/1/31,0.833333333,0.983333333,0.5,0.616666667,0.633333333,0.591666667,0.791666667,0.858333333,0.716666667,0.991666667,0.8
1982/2/28,0.825,1,0.7625,0.583333333,0.716666667,0.525,0.833333333,0.908333333,0.75,0.991666667,0.92
1982/3/31,0.875,0.895833333,0.608333333,0.591666667,0.566666667,0.491666667,0.908333333,0.975,0.866666667,0.975,0.98
1982/4/30,0.9,0.883333333,0.408333333,0.591666667,0.391666667,0.433333333,0.991666667,1,0.966666667,1,1.13
1982/5/31,0.866666667,0.991666667,0.5,0.583333333,0.391666667,0.366666667,0.991666667,1,0.966666667,0.983333333,1.06
1982/6/30,0.866666667,0.995833333,0.466666667,0.591666667,0.441666667,0.291666667,1,0.983333333,0.858333333,0.95,0.96
1982/7/31,0.841666667,1,0.558333333,0.583333333,0.425,0.366666667,1,1,0.916666667,0.941666667,1.05
1982/8/31,0.85,0.925,0.5875,0.6,0.4,0.391666667,1,1,0.941666667,0.941666667,0.76
1982/9/30,0.783333333,0.958333333,0.733333333,0.591666667,0.475,0.266666667,1,1,0.916666667,0.916666667,0.51
1982/10/31,0.65,1,1,0.766666667,0.483333333,0.158333333,0.958333333,0.95,0.666666667,0.925,0.59
1982/11/30,0.55,1,1,0.725,0.741666667,0.058333333,0.95,0.941666667,0.625,0.9,0.63
1982/12/31,0.508333333,0.9875,0.983333333,0.816666667,0.758333333,0.058333333,0.816666667,0.841666667,0.35,0.833333333,0.67
1983/1/31,0.591666667,0.991666667,0.975,0.883333333,0.791666667,0.033333333,0.691666667,0.708333333,0.3,0.85,0.69
1983/2/28,0.541666667,0.941666667,0.895833333,0.883333333,0.808333333,0.016666667,0.658333333,0.65,0.266666667,0.85,0.62
1983/3/31,0.516666667,0.8875,0.975,0.883333333,0.841666667,0.008333333,0.508333333,0.625,0.158333333,0.858333333,0.63
1983/4/30,0.591666667,0.816666667,0.725,0.875,0.983333333,0.008333333,0.45,0.533333333,0.141666667,0.833333333,0.71
1983/5/31,0.616666667,0.775,0.708333333,0.866666667,0.966666667,0.016666667,0.35,0.425,0.108333333,0.866666667,0.69
1983/6/30,0.583333333,0.720833333,0.691666667,0.866666667,0.958333333,0.041666667,0.283333333,0.308333333,0.066666667,0.866666667,0.67
1983/7/31,0.575,0.6,0.866666667,0.883333333,0.866666667,0.008333333,0.266666667,0.266666667,0.05,0.866666667,0.74
1983/8/31,0.65,0.595833333,0.691666667,0.875,0.866666667,0.008333333,0.233333333,0.233333333,0.041666667,0.858333333,0.76
1983/9/30,0.670833333,0.466666667,0.8375,0.891666667,0.775,0.008333333,0.25,0.258333333,0.066666667,0.941666667,0.76
1983/10/31,0.7,0.416666667,0.7875,0.8,0.775,0.016666667,0.241666667,0.258333333,0.083333333,0.941666667,0.76
1983/11/30,0.641666667,0.425,0.716666667,0.791666667,0.791666667,0.033333333,0.216666667,0.233333333,0.033333333,1,0.7
1983/12/31,0.604166667,0.445833333,0.966666667,0.666666667,0.908333333,0.033333333,0.25,0.333333333,0.1,1,0.73
1984/1/31,0.616666667,0.433333333,0.866666667,0.466666667,0.933333333,0.05,0.208333333,0.25,0.083333333,1,0.76
1984/2/29,0.6375,0.404166667,0.85,0.391666667,0.866666667,0.091666667,0.216666667,0.25,0.091666667,1,0.71
1984/3/31,0.616666667,0.529166667,0.808333333,0.333333333,0.875,0.116666667,0.241666667,0.383333333,0.108333333,0.975,0.73
1984/4/30,0.666666667,0.545833333,0.895833333,0.341666667,0.783333333,0.133333333,0.475,0.633333333,0.183333333,0.958333333,0.81
1984/5/31,0.729166667,0.5,0.866666667,0.333333333,0.841666667,0.141666667,0.425,0.6,0.166666667,0.95,0.78
1984/6/30,0.741666667,0.533333333,0.9375,0.308333333,0.683333333,0.133333333,0.666666667,0.666666667,0.216666667,0.958333333,0.75
1984/7/31,0.741666667,0.516666667,1,0.3,0.841666667,0.125,0.825,0.858333333,0.325,0.958333333,0.82
1984/8/31,0.741666667,0.529166667,0.983333333,0.333333333,0.816666667,0.125,0.758333333,0.8,0.308333333,0.966666667,0.83
1984/9/30,0.741666667,0.670833333,0.725,0.241666667,0.875,0.125,0.833333333,0.875,0.408333333,0.7,0.86
1984/10/31,0.758333333,0.695833333,0.545833333,0.375,0.958333333,0.125,0.541666667,0.566666667,0.291666667,0.691666667,1
1984/11/30,0.75,0.6375,0.466666667,0.366666667,0.958333333,0.116666667,0.566666667,0.6,0.308333333,0.666666667,0.73
1984/12/31,0.7,0.425,0.466666667,0.4,0.8,0.116666667,0.591666667,0.733333333,0.333333333,0.466666667,0.64
1985/1/31,0.5,0.35,0.866666667,0.416666667,0.766666667,0.116666667,0.666666667,0.816666667,0.375,0.383333333,0.65
1985/2/28,0.4375,0.416666667,0.966666667,0.458333333,0.741666667,0.116666667,0.575,0.733333333,0.333333333,0.4,0.58
1985/3/31,0.383333333,0.333333333,0.958333333,0.475,0.791666667,0.075,0.325,0.5,0.2,0.05,0.62
1985/4/30,0.475,0.2875,0.966666667,0.433333333,0.891666667,0.091666667,0.283333333,0.458333333,0.191666667,0.033333333,0.72
1985/5/31,0.483333333,0.320833333,0.933333333,0.375,0.916666667,0.116666667,0.308333333,0.466666667,0.2,0.05,0.66
1985/6/30,0.4,0.4625,0.958333333,0.308333333,0.991666667,0.083333333,0.408333333,0.558333333,0.208333333,0.008333333,0.55
1985/7/31,0.341666667,0.5125,0.8625,0.3,0.983333333,0.083333333,0.258333333,0.383333333,0.141666667,0.016666667,0.62
1985/8/31,0.308333333,0.545833333,0.941666667,0.25,0.991666667,0.116666667,0.225,0.325,0.133333333,0.016666667,0.55
1985/9/30,0.329166667,0.55,0.966666667,0.241666667,0.991666667,0.066666667,0.241666667,0.383333333,0.108333333,0.033333333,0.6
1985/10/31,0.333333333,0.533333333,0.925,0.158333333,1,0.058333333,0.275,0.45,0.116666667,0.041666667,0.65
1985/11/30,0.325,0.5,0.95,0.158333333,0.991666667,0.058333333,0.408333333,0.641666667,0.158333333,0.033333333,0.61
1985/12/31,0.333333333,0.5,0.891666667,0.15,1,0.058333333,0.291666667,0.591666667,0.083333333,0.058333333,0.65
1986/1/31,0.333333333,0.541666667,0.670833333,0.15,1,0.108333333,0.133333333,0.333333333,0.058333333,0.058333333,0.56
1986/2/28,0.304166667,0.520833333,0.525,0.158333333,1,0.191666667,0.058333333,0.208333333,0.016666667,0.1,0.53
1986/3/31,0.270833333,0.508333333,0.566666667,0.183333333,0.941666667,0.208333333,0.033333333,0.258333333,0.008333333,0.175,0.6
1986/4/30,0.258333333,0.5625,0.320833333,0.216666667,0.941666667,0.058333333,0.008333333,0.108333333,0.008333333,0.191666667,0.52
1986/5/31,0.225,0.641666667,0.3,0.241666667,0.95,0.008333333,0.008333333,0.041666667,0.008333333,0.2,0.49
1986/6/30,0.15,0.516666667,0.4,0.333333333,0.958333333,0.008333333,0.016666667,0.141666667,0.008333333,0.308333333,0.52
1986/7/31,0.166666667,0.395833333,0.541666667,0.375,0.975,0.016666667,0.016666667,0.083333333,0.008333333,0.208333333,0.52
1986/8/31,0.175,0.4125,0.391666667,0.466666667,0.866666667,0.025,0.008333333,0.041666667,0.008333333,0.266666667,0.46
1986/9/30,0.125,0.4625,0.533333333,0.608333333,0.875,0.016666667,0.041666667,0.15,0.025,0.458333333,0.45
1986/10/31,0.108333333,0.6125,0.508333333,0.616666667,0.833333333,0.008333333,0.008333333,0.075,0.008333333,0.516666667,0.46
1986/11/30,0.091666667,0.4625,0.791666667,0.733333333,0.85,0.041666667,0.066666667,0.258333333,0.05,0.583333333,0.39
1986/12/31,0.075,0.491666667,0.691666667,0.733333333,0.908333333,0.008333333,0.041666667,0.191666667,0.033333333,0.591666667,0.49
1987/1/31,0.091666667,0.495833333,0.583333333,0.791666667,0.941666667,0.008333333,0.041666667,0.133333333,0.033333333,0.575,0.42
1987/2/28,0.104166667,0.625,0.575,0.791666667,0.991666667,0.008333333,0.058333333,0.233333333,0.058333333,0.608333333,0.43
1987/3/31,0.083333333,0.466666667,0.575,0.808333333,1,0.025,0.008333333,0.025,0.008333333,0.558333333,0.47
1987/4/30,0.108333333,0.391666667,0.491666667,0.808333333,1,0.091666667,0.008333333,0.008333333,0.008333333,0.6,0.44
1987/5/31,0.104166667,0.375,0.595833333,0.816666667,0.983333333,0.15,0.008333333,0.008333333,0.008333333,0.591666667,0.38
1987/6/30,0.108333333,0.308333333,0.766666667,0.875,0.733333333,0.283333333,0.033333333,0.033333333,0.025,1,0.48
1987/7/31,0.108333333,0.279166667,0.8375,0.875,0.741666667,0.283333333,0.041666667,0.041666667,0.041666667,0.366666667,0.46
1987/8/31,0.108333333,0.325,0.825,0.866666667,0.833333333,0.308333333,0.025,0.016666667,0.025,0.391666667,0.47
1987/9/30,0.108333333,0.295833333,0.891666667,0.8,0.891666667,0.35,0.016666667,0.008333333,0.008333333,0.358333333,0.45
1987/10/31,0.125,0.233333333,0.875,0.825,0.941666667,0.408333333,0.008333333,0.008333333,0.008333333,0.208333333,0.6
1987/11/30,0.191666667,0.229166667,0.908333333,0.758333333,0.833333333,0.4,0.025,0.016666667,0.016666667,0.225,0.35
1987/12/31,0.15,0.191666667,0.8,1,0.041666667,0.466666667,0.183333333,0.608333333,0.175,0.633333333,0.39
1988/1/31,0.104166667,0.35,0.925,1,0.016666667,0.483333333,0.275,0.875,0.2,0.641666667,0.29
1988/2/29,0.116666667,0.25,0.883333333,1,0.008333333,0.458333333,0.2,0.641666667,0.183333333,0.575,0.46
1988/3/31,0.125,0.283333333,0.633333333,1,0.008333333,0.383333333,0.175,0.55,0.191666667,0.116666667,0.44
1988/4/30,0.0875,0.345833333,0.666666667,1,0.008333333,0.358333333,0.166666667,0.366666667,0.191666667,0.108333333,0.46
1988/5/31,0.125,0.229166667,0.841666667,0.991666667,0.008333333,0.35,0.183333333,0.483333333,0.2,0.15,0.51
1988/6/30,0.158333333,0.354166667,0.8625,0.975,0.041666667,0.383333333,0.225,0.608333333,0.241666667,0.058333333,0.49
1988/7/31,0.208333333,0.191666667,0.808333333,0.975,0.033333333,0.383333333,0.241666667,0.616666667,0.25,0.058333333,0.51
1988/8/31,0.225,0.1875,0.595833333,1,0.033333333,0.375,0.2,0.425,0.208333333,0.075,0.59
1988/9/30,0.241666667,0.191666667,0.6,1,0.033333333,0.433333333,0.208333333,0.683333333,0.35,0.008333333,0.62
1988/10/31,0.2625,0.1125,0.5125,0.991666667,0.025,0.425,0.266666667,0.783333333,0.391666667,0.008333333,0.61
